1,generator,light your whole house,Berlin,1000.0
2,Lightning bulb,Electrify your life,Saturn ,9000.0
3,iPhone,the most expensive phone,Rome ,6000.0
4,Playstation 5,play with your friends,Milan ,7000.0
5,Xbox One X,play with your friends 2,Paris ,8000.0
6,LED TV,watch your favorite tv shows,Madrid,1000.0
7,Portable computer,compute anywhere,New York ,3000.0
8,Printer,print your documents,Chicago ,2000.0
9,Fridge,keep your food cold,Los Angeles ,1000.0
10,Window,watch other people from inside your home,London ,300.0
